date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:31:13	124585/124585	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20Mar%202023%2021:23:10%20GMT	https://quiety-next.themetags.com/software-application	C:/My%20Web%20Sites/infi/quiety-next.themetags.com/software-application.html	(from )
16:31:14	70/70	---M--	200	added ('OK')	text/plain	date:Sun,%2015%20Jan%202023%2019:49:52%20GMT	https://quiety-next.themetags.com/robots.txt		(from )
16:31:14	2241/2241	---M--	200	added ('OK')	image/png	date:Sun,%2015%20Jan%202023%2019:49:52%20GMT	https://quiety-next.themetags.com/favicon.png	C:/My%20Web%20Sites/infi/quiety-next.themetags.com/favicon.png	(from https://quiety-next.themetags.com/software-application)
16:31:15	91460/91460	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2021%20Mar%202023%2021:23:00%20GMT	https://quiety-next.themetags.com/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js	C:/My%20Web%20Sites/infi/quiety-next.themetags.com/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js	(from https://quiety-next.themetags.com/software-application)
16:31:15	779189/779189	---M-Z	200	added ('OK')	text/css	date:Tue,%2021%20Mar%202023%2021:23:00%20GMT	https://quiety-next.themetags.com/_next/static/css/a858ede4f2623251.css	C:/My%20Web%20Sites/infi/quiety-next.themetags.com/_next/static/css/a858ede4f2623251.css	(from https://quiety-next.themetags.com/software-application)
16:31:16	1470/1470	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2021%20Mar%202023%2021:23:00%20GMT	https://quiety-next.themetags.com/_next/static/chunks/webpack-8e959a88cb46fb08.js	C:/My%20Web%20Sites/infi/quiety-next.themetags.com/_next/static/chunks/webpack-8e959a88cb46fb08.js	(from https://quiety-next.themetags.com/software-application)
16:31:16	129980/129980	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2021%20Mar%202023%2021:23:00%20GMT	https://quiety-next.themetags.com/_next/static/chunks/framework-a070cbfff3c750c5.js	C:/My%20Web%20Sites/infi/quiety-next.themetags.com/_next/static/chunks/framework-a070cbfff3c750c5.js	(from https://quiety-next.themetags.com/software-application)
16:31:17	106073/106073	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2021%20Mar%202023%2021:23:00%20GMT	https://quiety-next.themetags.com/_next/static/chunks/main-e49acc80dc6c50b8.js	C:/My%20Web%20Sites/infi/quiety-next.themetags.com/_next/static/chunks/main-e49acc80dc6c50b8.js	(from https://quiety-next.themetags.com/software-application)
16:31:17	1675/1675	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2021%20Mar%202023%2021:23:00%20GMT	https://quiety-next.themetags.com/_next/static/chunks/pages/_app-78924ea32ad8d3c4.js	C:/My%20Web%20Sites/infi/quiety-next.themetags.com/_next/static/chunks/pages/_app-78924ea32ad8d3c4.js	(from https://quiety-next.themetags.com/software-application)
16:31:17	41069/41069	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2021%20Mar%202023%2021:23:00%20GMT	https://quiety-next.themetags.com/_next/static/chunks/1bfc9850-f0c211c07f426ed6.js	C:/My%20Web%20Sites/infi/quiety-next.themetags.com/_next/static/chunks/1bfc9850-f0c211c07f426ed6.js	(from https://quiety-next.themetags.com/software-application)
16:31:17	9666/9666	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2021%20Mar%202023%2021:23:00%20GMT	https://quiety-next.themetags.com/_next/static/chunks/0c428ae2-78af68c365d7a815.js	C:/My%20Web%20Sites/infi/quiety-next.themetags.com/_next/static/chunks/0c428ae2-78af68c365d7a815.js	(from https://quiety-next.themetags.com/software-application)
16:31:18	10876/10876	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2021%20Mar%202023%2021:23:00%20GMT	https://quiety-next.themetags.com/_next/static/chunks/1a48c3c1-3b5d117046d36a3b.js	C:/My%20Web%20Sites/infi/quiety-next.themetags.com/_next/static/chunks/1a48c3c1-3b5d117046d36a3b.js	(from https://quiety-next.themetags.com/software-application)
16:31:18	3580/3580	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2021%20Mar%202023%2021:23:00%20GMT	https://quiety-next.themetags.com/_next/static/chunks/d64684d8-8c3a37c2d3a4495d.js	C:/My%20Web%20Sites/infi/quiety-next.themetags.com/_next/static/chunks/d64684d8-8c3a37c2d3a4495d.js	(from https://quiety-next.themetags.com/software-application)
16:31:18	1442/1442	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2021%20Mar%202023%2021:23:00%20GMT	https://quiety-next.themetags.com/_next/static/chunks/ae51ba48-ec12a4b62edfe4ee.js	C:/My%20Web%20Sites/infi/quiety-next.themetags.com/_next/static/chunks/ae51ba48-ec12a4b62edfe4ee.js	(from https://quiety-next.themetags.com/software-application)
16:31:18	5853/5853	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2021%20Mar%202023%2021:23:00%20GMT	https://quiety-next.themetags.com/_next/static/chunks/1664-2bd7c0cf8e82d2c6.js	C:/My%20Web%20Sites/infi/quiety-next.themetags.com/_next/static/chunks/1664-2bd7c0cf8e82d2c6.js	(from https://quiety-next.themetags.com/software-application)
16:31:19	9641/9641	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2021%20Mar%202023%2021:23:00%20GMT	https://quiety-next.themetags.com/_next/static/chunks/5675-7de29d28532f6025.js	C:/My%20Web%20Sites/infi/quiety-next.themetags.com/_next/static/chunks/5675-7de29d28532f6025.js	(from https://quiety-next.themetags.com/software-application)
16:31:19	7357/7357	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2021%20Mar%202023%2021:23:00%20GMT	https://quiety-next.themetags.com/_next/static/chunks/2847-ea24c9d5df2ffde7.js	C:/My%20Web%20Sites/infi/quiety-next.themetags.com/_next/static/chunks/2847-ea24c9d5df2ffde7.js	(from https://quiety-next.themetags.com/software-application)
16:31:19	17457/17457	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2021%20Mar%202023%2021:23:00%20GMT	https://quiety-next.themetags.com/_next/static/chunks/1239-56dde841b7dee7d6.js	C:/My%20Web%20Sites/infi/quiety-next.themetags.com/_next/static/chunks/1239-56dde841b7dee7d6.js	(from https://quiety-next.themetags.com/software-application)
16:31:20	87925/87925	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2021%20Mar%202023%2021:23:00%20GMT	https://quiety-next.themetags.com/_next/static/chunks/719-d9cd36247607f561.js	C:/My%20Web%20Sites/infi/quiety-next.themetags.com/_next/static/chunks/719-d9cd36247607f561.js	(from https://quiety-next.themetags.com/software-application)
